Answer.ColorCondition,Answer.FontCondition,Answer.casual,Answer.chic,Answer.classic,Answer.clear,Answer.cool casual,Answer.dandy,Answer.dynamic,Answer.elegant,Answer.gorgeous,Answer.modern,Answer.natural,Answer.pretty,Answer.romantic
#45668e,"Waiting for the Sunrise, cursive",0,0,0,0,1,0,0,0,0,0,0,0,0
#0072b1,"Waiting for the Sunrise, cursive",1,0,0,0,1,0,0,0,0,0,1,0,0
#00aced,"Inconsolata",1,0,0,0,0,0,0,0,0,0,0,0,0
#bb0000,"Inconsolata",0,0,1,0,0,0,0,0,0,0,0,0,0
#4dc247,"Inconsolata",0,0,0,1,1,0,0,0,0,1,0,0,0
#00bf8f,"Inconsolata",1,0,0,1,1,0,0,0,0,1,0,0,0
#a82400,"Inconsolata",0,0,0,1,0,0,0,0,0,1,0,0,0
#ff0084,"Inconsolata",0,0,0,1,1,0,0,0,0,0,0,0,0
#45668e,"Inconsolata",0,0,0,0,1,0,0,0,0,0,0,0,0
#0072b1,"Inconsolata",1,0,0,1,0,0,0,0,0,1,1,0,0
#bb0000,"Lobster, cursive",0,0,0,0,0,0,0,1,0,0,0,1,1
#125688,"Lobster, cursive",0,0,0,0,0,0,0,1,1,1,0,1,1
#cb2027,"Lobster, cursive",0,0,0,1,1,0,0,0,0,1,1,0,0
#a82400,"Lobster, cursive",0,1,0,1,0,0,0,1,0,0,0,1,1
#32506d,"Lobster, cursive",0,0,0,1,1,1,0,1,0,0,0,0,0
#aad450,"Lobster, cursive",0,0,1,1,0,0,0,0,0,0,1,1,0
#0072b1,"Lobster, cursive",0,0,0,0,1,0,0,0,0,0,0,1,0
#00aced,"Monoton, cursive",0,0,0,0,0,1,1,0,0,1,0,0,0
#bb0000,"Monoton, cursive",0,0,0,0,0,0,1,0,0,0,0,0,0
#4dc247,"Monoton, cursive",0,0,0,0,1,0,1,0,0,0,0,0,0
#00bf8f,"Monoton, cursive",0,0,0,0,0,0,1,0,0,0,0,0,0
#a82400,"Monoton, cursive",0,1,0,0,0,0,0,0,0,0,0,0,0
#ff0084,"Monoton, cursive",0,0,0,0,1,0,0,0,0,0,0,0,0
#45668e,"Monoton, cursive",0,1,1,1,1,0,0,0,0,1,0,1,0
#0072b1,"Monoton, cursive",0,0,0,0,1,0,0,0,0,1,0,1,0
#00aced,"Old Standard TT, serif",0,0,1,1,0,0,0,1,0,0,0,1,0
#007bb5,"Old Standard TT, serif",0,0,1,0,0,0,0,0,0,0,0,0,0
#4dc247,"Old Standard TT, serif",1,0,1,1,1,0,0,0,1,0,1,0,1
#fffc00,"Old Standard TT, serif",0,0,0,0,0,0,1,0,0,0,0,0,0
#007ee5,"Old Standard TT, serif",0,0,0,1,0,0,0,0,0,0,0,0,0
#32506d,"Old Standard TT, serif",1,1,0,0,1,1,0,0,0,0,0,0,0
#0072b1,"Old Standard TT, serif",0,0,0,1,0,0,0,0,0,0,1,1,1
#dd4b39,"Merriweather, serif",1,0,1,1,1,0,0,0,0,0,0,0,0
#007bb5,"Merriweather, serif",0,0,0,0,0,0,1,0,0,0,0,0,0
#4dc247,"Merriweather, serif",1,0,0,1,0,0,0,0,0,1,0,0,0
#cb2027,"Merriweather, serif",0,0,1,0,0,0,0,1,0,0,0,0,1
