Font,Color,casual,chic,classic,clear,cool casual,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic
"Open Sans, san serif","Foursquare Logo Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Open Sans, san serif","Foursquare Logo Blue",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Open Sans, san serif","Foursquare Logo Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Open Sans, san serif","Foursquare Logo Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Open Sans, san serif","Foursquare Logo Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Open Sans, san serif","Foursquare Logo Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0217,0.0000,0.0000,0.0149,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0217,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0370,0.0189,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0149,0.0172,0.0000,0.0400,0.0000,0.0714,0.0169,0.0000,0.0189,0.0000
"Lato, san serif","Twitter Blue",0.0217,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0370,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0417
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0182,0.0149,0.0000,0.0000,0.0000,0.0217,0.0714,0.0000,0.0000,0.0000,0.0417
"Lato, san serif","Twitter Blue",0.0217,0.0000,0.0182,0.0149,0.0172,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Lato, san serif","Twitter Blue",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0000
"Lato, san serif","Twitter Blue",0.0217,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0714,0.0169,0.0370,0.0189,0.0000
"Roboto, san serif","YouTube Red",0.0217,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0149,0.0172,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0370,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0217,0.0417,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0217,0.0000,0.0182,0.0000,0.0172,0.0000,0.0400,0.0217,0.0714,0.0169,0.0370,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0189,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0217,0.0000,0.0169,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0217,0.0000,0.0182,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0149,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
"Roboto, san serif","YouTube Red",0.0000,0.0000,0.0000,0.0149,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000
"Roboto, san serif","YouTube Red",0.0435,0.0000,0.0364,0.0299,0.0172,0.0000,0.0000,0.0217,0.0000,0.0000,0.0741,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0217,0.0417,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0000
"Pacifico, cursive","Instagram Blue",0.0000,0.0417,0.0182,0.0000,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0000,0.0417
"Pacifico, cursive","Instagram Blue",0.0217,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0189,0.0000
